HeatVaporization_difference,BoilingT_difference,GSestFCClatcnt_difference,ThermalExpansionCoefficient_difference,GSestBCClatcnt_difference,ElectronAffinity_difference,MeltingT_difference,BoilingT_composition_average,NpUnfilled_arithmetic_average,HHIr_composition_average,ThermalConductivity_difference,MendeleevNumber_difference,BCCfermi_arithmetic_average,ThirdIonizationEnergy_composition_average,Density_difference,ThermalExpansionCoefficient_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,HeatVaporization_composition_average,phi_composition_average,SpecificHeatCapacity_composition_average,HHIr_min_value,IonicRadii_composition_average,HeatCapacityMolar_composition_average,ThermalExpansionCoefficient_composition_average,NValance_composition_average
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2683.7,0.75,4820.0,400.765,22.0,6.18234914,33.774,10200.0,42.175,33.7775,287.7,5.145,0.4113,1500.0,0.578,25.095800000000004,36.41,9.3
290.0,1482.0,0.9892583919999997,10.8,0.785174906,68.3,770.23,3941.0,0.0,2050.0,378.3,20.0,4.303395175,29.91,2409.0,11.1,29.91,445.5,3.95,0.3315,1500.0,0.7849999999999999,24.9,11.1,7.5
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,51.0,1510.75,2679.5,1.0,4820.0,90.465,22.0,6.783552286666667,33.276,10200.0,50.73333333333333,32.760000000000005,310.79999999999995,5.370000000000001,0.429,1500.0,0.566,25.5848,35.48,9.0
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2684.78,0.75,5015.0,400.765,22.0,6.18234914,33.657,10200.0,42.175,33.7775,290.48400000000004,5.175000000000001,0.40707,1500.0,0.5753,25.142000000000003,36.269,9.27
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2685.0200000000004,0.75,5028.0,400.765,22.0,6.18234914,33.66912000000001,10200.0,42.175,33.7775,289.7456,5.168,0.40608,1500.0,0.5756,25.12552,36.2968,9.28
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2685.0200000000004,0.75,5028.0,400.765,22.0,6.18234914,33.66912000000001,10200.0,42.175,33.7775,289.7456,5.168,0.40608,1500.0,0.5756,25.12552,36.2968,9.28
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2684.78,0.75,5015.0,400.765,22.0,6.18234914,33.657,10200.0,42.175,33.7775,290.48400000000004,5.175000000000001,0.40707,1500.0,0.5753,25.142000000000003,36.269,9.27
293.5,1939.0,1.3668957949999996,10.8,1.084905912,0.0,770.23,3756.039,0.0,2529.5,379.1,24.0,4.954968574,56.012313000000006,7072.0,11.1,55.27479999999999,444.1011,4.1583000000000006,0.6898599999999999,1500.0,0.69176,23.268275000000003,9.4802,5.025
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2684.78,0.75,5015.0,400.765,22.0,6.18234914,33.657,10200.0,42.175,33.7775,290.48400000000004,5.175000000000001,0.40707,1500.0,0.5753,25.142000000000003,36.269,9.27
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2684.95,0.75,4982.5,400.765,22.0,6.18234914,33.718,10200.0,42.175,33.7775,288.095,5.15125,0.4063,1500.0,0.57675,25.09355,36.37,9.3
